"w1","w2","prediction","rank"
"become","even","more",14
"become","friends","with",6
"become","interested","in",3
"become","its","own",3
"become","mayor","of",3
"become","more","and",4
"become","more","of",7
"become","more","than",4
"become","of","the",3
"become","one","of",29
"become","part","of",26
"become","such","a",3
"become","the","first",12
"become","the","most",4
"become","the","next",9
"become","the","person",3
"becomes","a","factor",3
"becomes","even","more",8
"becomes","part","of",6
"becomes","the","only",3
"becoming","a","member",6
"becoming","more","and",10
"becoming","one","of",11
"becoming","the","first",15
"bed","and","breakfast",13
"bed","and","get",5
"bed","bath","beyond",7
"bed","i","do",4
"bed","in","a",10
"bed","in","the",24
"bed","it","is",7
"bed","on","the",7
"bed","with","a",14
"beef","and","a",3
"beef","and","cabbage",7
"beef","and","chicken",4
"beeline","for","the",4
"been","a","better",8
"been","a","big",25
"been","a","bit",32
"been","a","blessing",12
"been","a","busy",28
"been","a","constant",9
"been","a","dream",6
"been","a","fan",40
"been","a","favorite",3
"been","a","few",18
"been","a","good",52
"been","a","great",57
"been","a","hard",5
"been","a","huge",19
"been","a","joy",3
"been","a","little",48
"been","a","long",107
"been","a","longtime",7
"been","a","lot",43
"been","a","month",5
"been","a","new",4
"been","a","nice",6
"been","a","part",18
"been","a","pretty",7
"been","a","problem",5
"been","a","real",10
"been","a","really",13
"been","a","rough",16
"been","a","staple",4
"been","a","tough",9
"been","a","very",42
"been","a","week",12
"been","a","weird",5
"been","a","while",79
"been","a","wonderful",11
"been","a","year",14
"been","able","to",258
"been","accepted","into",5
"been","accused","of",19
"been","added","to",15
"been","adopted","by",5
"been","all","over",6
"been","allowed","to",22
"been","an","accident",4
"been","an","amazing",11
"been","an","easy",7
"been","and","always",3
"been","around","for",30
"been","around","the",6
"been","arrested","and",6
"been","arrested","in",5
"been","asked","to",23
"been","asking","for",8
"been","asking","me",4
"been","at","a",10
"been","at","the",40
"been","at","work",6
"been","avoided","if",4
"been","aware","of",9
"been","away","from",13
"been","awhile","since",19
"been","back","in",5
"been","back","to",4
"been","banned","from",3
"been","better","off",5
"been","better","than",3
"been","better","with",3
"been","blessed","with",9
"been","booked","for",3
"been","brought","to",6
"been","bugging","me",7
"been","building","for",4
"been","busy","as",3
"been","busy","at",3
"been","busy","in",3
"been","busy","the",3
"been","busy","with",13
"been","called","a",5
"been","called","in",4
"been","cast","in",7
"been","caught","up",5
"been","changed","to",7
"been","charged","with",43
"been","chosen","to",7
"been","completed","and",5
"been","considered","a",5
"been","converted","into",5
"been","convicted","of",7
"been","dead","for",5
"been","dealing","with",15
"been","designed","by",3
"been","diagnosed","with",10
"been","doing","a",22
"been","doing","better",4
"been","doing","for",7
"been","doing","in",5
"been","doing","it",17
"been","doing","more",4
"been","doing","so",4
"been","doing","that",7
"been","doing","the",9
"been","doing","this",21
"been","doing","well",6
"been","done","in",7
"been","done","on",7
"been","done","to",5
"been","done","with",8
"been","driving","me",4
"been","easy","for",4
"been","easy","to",5
"been","even","better",5
"been","even","more",4
"been","far","too",7
"been","featured","in",8
"been","few","and",5
"been","filed","against",4
"been","focused","on",7
"been","following","the",6
"been","for","the",8
"been","for","years",4
"been","forced","to",18
"been","found","and",3
"been","found","at",4
"been","found","guilty",4
"been","found","to",5
"been","friends","with",5
"been","getting","a",8
"been","getting","the",7
"been","given","a",11
"been","given","to",12
"been","going","in",3
"been","going","on",32
"been","going","strong",5
"been","going","through",10
"been","going","to",12
"been","good","for",5
"been","great","for",8
"been","great","to",7
"been","had","the",3
"been","hard","to",10
"been","having","a",10
"been","having","some",7
"been","having","this",3
"been","hearing","a",3
"been","here","before",12
"been","here","for",14
"been","hit","by",7
"been","home","for",7
"been","home","to",7
"been","hoping","for",4
"been","in","a",53
"been","in","and",9
"been","in","bed",9
"been","in","business",4
"been","in","contact",14
"been","in","my",24
"been","in","that",7
"been","in","the",140
"been","in","their",6
"been","in","there",4
"been","in","this",17
"been","in","with",3
"been","influenced","by",3
"been","inspired","by",7
"been","interested","in",11
"been","inundated","with",3
"been","invited","to",21
"been","involved","in",28
"been","involved","with",6
"been","it","is",8
"been","kind","of",7
"been","known","to",20
"been","listed","as",4
"been","listening","to",38
"been","living","in",16
"been","living","with",6
"been","looking","at",14
"been","looking","for",40
"been","looking","forward",20
"been","looking","to",4
"been","lucky","enough",7
"been","made","by",6
"been","made","to",6
"been","making","me",5
"been","making","the",6
"been","married","for",15
"been","meaning","to",25
"been","mia","for",11
"been","missing","for",5
"been","months","since",8
"been","more","than",9
"been","moved","to",12
"been","much","more",6
"been","much","of",4
"been","my","best",5
"been","my","experience",6
"been","my","favorite",7
"been","named","a",6
"been","nice","to",16
"been","nominated","for",13
"been","offered","a",6
"been","on","a",47
"been","on","my",24
"been","on","the",108
"been","one","big",3
"been","one","of",69
"been","one","to",5
"been","out","for",10
"been","out","of",31
"been","out","on",5
"been","out","since",6
"been","over","a",5
"been","paid","for",4
"been","part","of",25
"been","paying","attention",8
"been","picked","up",9
"been","placed","in",6
"been","placed","on",6
"been","planning","this",4
"been","planning","to",5
"been","playing","a",6
"been","playing","with",8
"been","praying","for",8
"been","pretty","good",8
"been","promoted","to",7
"been","proven","wrong",3
"been","put","in",7
"been","put","into",4
"been","put","out",4
"been","put","to",7
"been","putting","off",7
"been","quite","a",10
"been","reading","my",5
"been","really","good",5
"been","really","hard",4
"been","really","impressed",3
"been","reduced","to",11
"been","released","from",6
"been","removed","from",11
"been","replaced","by",15
"been","reported","that",3
"been","responsible","for",5
"been","running","a",5
"been","said","that",4
"been","scheduled","for",7
"been","searching","for",12
"been","seen","in",4
"been","sent","to",10
"been","shown","to",12
"been","since","i",6
"been","sitting","in",9
"been","sitting","on",9
"been","so","good",10
"been","so","kind",3
"been","so","many",5
"been","so","much",17
"been","so","successful",6
"been","sort","of",3
"been","struggling","with",7
"been","stuck","in",9
"been","stuck","on",4
"been","such","a",27
"been","suspended","for",9
"been","taken","from",4
"been","taken","in",5
"been","taken","on",3
"been","taken","over",4
"been","taken","to",6
"been","talking","about",22
"been","talking","to",9
"been","taught","to",4
"been","telling","me",7
"been","testing","the",3
"been","that","way",5
"been","the","best",22
"been","the","biggest",7
"been","the","case",12
"been","the","first",11
"been","the","last",11
"been","the","most",21
"been","the","same",15
"been","the","subject",10
"been","the","worst",8
"been","there","and",14
"been","there","before",14
"been","there","done",21
"been","there","for",28
"been","there","in",14
"been","there","since",7
"been","there","to",7
"been","thinking","about",45
"been","through","a",16
"been","through","the",5
"been","to","a",29
"been","to","have",3
"been","to","one",9
"been","to","the",46
"been","together","for",12
"been","told","and",4
"been","told","by",10
"been","told","i",7
"been","told","it",4
"been","told","that",15
"been","told","to",6
"been","too","busy",5
"been","too","long",31
"been","touched","by",7
"been","trained","to",5
"been","trying","to",133
"been","turned","down",4
"been","under","a",3
"been","up","all",6
"been","up","and",6
"been","up","for",11
"been","up","to",72
"been","used","by",3
"been","used","in",11
"been","used","to",14
"been","using","a",4
"been","using","the",7
"been","using","this",4
"been","very","lucky",4
"been","waiting","for",72
"been","waiting","on",4
"been","waiting","to",8
"been","waiting","years",6
"been","wanting","to",53
"been","watching","a",7
"been","watching","the",10
"been","watching","this",6
"been","with","us",8
"been","working","for",11
"been","working","hard",13
"been","working","in",11
"been","working","on",99
"been","working","so",5
"been","working","to",11
"been","working","with",24
"been","worth","it",7
"been","years","since",22
"beer","and","it",6
"beer","and","the",9
"beer","and","wine",25
"beer","from","a",4
"beer","in","a",8
"beer","in","the",11
"beer","is","not",7
"beer","it","is",10
"beer","on","tap",5
"beer","on","the",12
"beer","out","of",3
"beer","will","be",4
"beers","in","the",11
"beers","on","tap",6
"before","a","game",7
"before","all","the",5
"before","am","and",3
"before","and","after",53
"before","and","during",4
"before","and","he",4
"before","and","i",25
"before","and","was",4
"before","any","of",5
"before","at","the",3
"before","but","i",21
"before","but","it",6
"before","but","never",3
"before","but","there",5
"before","coming","to",12
"before","deciding","to",10
"before","during","and",10
"before","giving","birth",3
"before","giving","up",5
"before","going","back",5
"before","going","on",10
"before","going","out",3
"before","going","to",33
"before","he","became",9
"before","he","can",9
"before","he","could",11
"before","he","even",8
"before","he","got",8
"before","he","leaves",5
"before","he","left",6
"before","he","spoke",4
"before","he","was",39
"before","heading","down",3
"before","heading","off",7
"before","heading","out",7
"before","heading","to",20
"before","his","death",10
"before","hitting","the",11
"before","i","am",26
"before","i","can",20
"before","i","could",17
"before","i","do",19
"before","i","even",15
"before","i","get",27
"before","i","go",53
"before","i","got",16
"before","i","had",15
"before","i","knew",19
"before","i","left",18
"before","i","make",4
"before","i","met",8
"before","i","moved",7
"before","i","put",3
"before","i","say",3
"before","i","started",11
"before","i","took",12
"before","i","was",28
"before","i","would",12
"before","it","becomes",6
"before","it","can",6
"before","it","closed",7
"before","it","gets",15
"before","it","goes",8
"before","it","got",7
"before","it","hit",5
"before","it","hits",4
"before","it","is",74
"before","it","opens",3
"before","it","starts",11
"before","it","was",33
"before","it","went",6
"before","leaving","for",7
"before","leaving","the",7
"before","making","the",9
"before","memorial","day",3
"before","mothers","day",5
"before","moving","on",14
"before","moving","to",21
"before","my","eyes",9
"before","my","mother",4
"before","now","i",4
"before","one","of",4
"before","or","after",17
"before","or","during",3
"before","our","eyes",5
"before","reaching","the",5
"before","returning","to",10
"before","she","died",4
"before","she","got",3
"before","she","is",7
"before","so","i",12
"before","taking","the",8
"before","that","i",11
"before","that","is",7
"before","that","the",8
"before","the","big",11
"before","the","board",11
"before","the","committee",8
"before","the","concert",6
"before","the","deadline",6
"before","the","election",16
"before","the","end",39
"before","the","event",8
"before","the","final",10
"before","the","first",22
"before","the","game",63
"before","the","holiday",5
"before","the","internet",3
"before","the","last",13
"before","the","meeting",8
"before","the","new",4
"before","the","next",13
"before","the","night",7
"before","the","party",6
"before","the","police",7
"before","the","public",4
"before","the","race",11
"before","the","rain",4
"before","the","season",21
"before","the","show",21
"before","the","start",13
"before","the","summer",4
"before","the","sun",13
"before","the","th",11
"before","the","trip",3
"before","the","wedding",6
"before","there","is",5
"before","there","was",11
"before","they","are",38
"before","they","began",5
"before","they","can",11
"before","they","enter",4
"before","they","even",6
"before","they","get",13
"before","they","go",12
"before","they","leave",6
"before","they","start",4
"before","they","were",25
"before","they","will",3
"before","this","one",8
"before","too","long",8
"before","trying","to",5
"before","we","are",8
"before","we","can",10
"before","we","even",4
"before","we","go",11
"before","we","leave",5
"before","we","start",8
"before","we","went",4
"before","we","would",5
"before","when","i",9
"before","you","are",12
"before","you","but",4
"before","you","buy",8
"before","you","can",12
"before","you","could",6
"before","you","even",6
"before","you","get",22
"before","you","go",24
"before","you","know",20
"before","you","leave",28
"before","you","left",3
"before","you","place",3
"before","you","read",4
"before","you","say",4
"before","you","start",15
"before","you","take",4
"before","you","were",4
"beg","to","differ",13
"beg","you","to",3
"began","his","career",5
"began","in","and",7
"began","the","day",5
"began","to","be",8
"began","to","realize",3
"began","with","a",14
"began","working","on",6
"begged","me","to",3
"begin","and","end",3
"begin","at","am",12
"begin","at","pm",13
"begin","at","the",7
"begin","in","the",8
"begin","the","new",4
"begin","to","describe",5
"begin","to","feel",7
"begin","to","live",4
"begin","to","see",9
"begin","to","tell",5
"begin","to","wonder",4
"begin","with","a",13
"begin","with","but",7
"begin","with","the",15
"beginning","a","new",3
"beginning","and","end",5
"beginning","at","pm",13
"beginning","at","the",3
"beginning","for","me",3
"beginning","in","the",10
"beginning","it","is",4
"beginning","it","was",3
"beginning","middle","and",5
"beginning","of","a",36
"beginning","of","july",3
"beginning","of","my",9
"beginning","of","the",118
"beginning","of","this",19
"beginning","of","time",8
"beginning","of","wisdom",6
"beginning","to","be",7
"beginning","to","end",12
"beginning","to","look",5
"beginning","with","a",11
"begins","and","ends",6
"begins","at","home",3
"begins","at","pm",22
"begins","at","the",5
"begins","in","the",5
"begins","to","look",5
"begins","to","play",5
"begins","with","a",20
"begins","with","an",4
"begins","with","the",10
"begs","the","question",7
"begun","and","the",3
"behalf","of","a",8
"behalf","of","the",48
"behalf","of","your",6
"behave","in","a",5
"behavior","in","the",4
"behavior","is","a",6
"behavior","that","is",4
"behind","closed","doors",19
"behind","him","and",8
"behind","his","back",5
"behind","in","the",10
"behind","it","but",4
"behind","it","in",3
"behind","it","there",4
"behind","me","and",8
"behind","me","i",11
"behind","my","back",10
"behind","on","the",9
"behind","one","of",4
"behind","the","bar",20
"behind","the","camera",7
"behind","the","couch",4
"behind","the","counter",15
"behind","the","front",3
"behind","the","goal",4
"behind","the","house",3
"behind","the","name",4
"behind","the","new",4
"behind","the","scenes",52
"behind","the","wheel",21
"behind","them","and",5
"behind","us","and",8
"behind","us","but",3
"being","a","big",6
"being","a","bit",9
"being","a","coach",3
"being","a","creative",3
"being","a","dad",4
"being","a","family",3
"being","a","father",3
"being","a","former",4
"being","a","good",18
"being","a","great",12
"being","a","guest",6
"being","a","guy",6
"being","a","lawyer",3
"being","a","little",12
"being","a","mom",12
"being","a","new",4
"being","a","parent",7
"being","a","part",22
"being","a","professional",8
"being","a","student",7
"being","a","true",3
"being","a","vampire",3
"being","a","woman",5
"being","able","to",271
"being","accused","of",8
"being","added","to",6
"being","afraid","of",3
"being","an","idiot",4
"being","at","a",4
"being","at","home",10
"being","at","the",20
"being","away","from",8
"being","back","home",5
"being","called","a",10
"being","called","the",4
"being","carried","out",4
"being","developed","by",3
"being","diagnosed","with",8
"being","done","to",9
"being","featured","in",5
"being","forced","to",21
"being","from","the",4
"being","given","a",5
"being","given","the",6
"being","gone","for",3
"being","held","at",18
"being","held","hostage",4
"being","held","in",25
"being","held","on",18
"being","here","for",3
"being","hit","by",4
"being","in","a",40
"being","in","an",3
"being","in","another",4
"being","in","the",71
"being","in","this",9
"being","included","in",3
"being","killed","by",6
"being","made","in",6
"being","made","on",4
"being","made","to",7
"being","more","than",6
"being","of","the",5
"being","offered","to",4
"being","on","a",13
"being","on","the",65
"being","one","of",37
"being","out","in",6
"being","out","of",16
"being","out","there",6
"being","part","of",38
"being","picked","up",5
"being","played","in",3
"being","pulled","in",4
"being","pushed","to",4
"being","raised","by",7
"being","raised","in",3
"being","released","from",4
"being","replaced","by",6
"being","ripped","off",3
"being","run","over",3
"being","said","i",21
"being","seen","in",3
"being","sent","to",11
"being","sold","to",3
"being","subjected","to",4
"being","such","a",32
"being","surrounded","by",7
"being","taken","to",6
"being","that","is",6
"being","that","the",5
"being","the","best",12
"being","the","first",14
"being","the","most",9
"being","the","oldest",3
"being","the","only",12
"being","the","right",3
"being","the","worst",4
"being","there","for",21
"being","told","to",12
"being","too","busy",5
"being","treated","for",13
"being","true","to",9
"being","turned","into",6
"being","unable","to",6
"being","used","by",9
"being","used","for",10
"being","used","in",4
"being","used","to",16
"being","willing","to",6
"being","with","my",7
"being","with","the",6
"bejesus","out","of",4
"belief","in","the",9
"belief","is","that",5
"belief","that","the",12
"believe","and","i",4
"believe","he","is",20
"believe","he","was",12
"believe","he","will",3
"believe","how","many",9
"believe","how","much",15
"believe","i","can",6
"believe","i","did",7
"believe","i","have",31
"believe","i","was",5
"believe","i","will",10
"believe","in","a",8
"believe","in","ghosts",5
"believe","in","him",8
"believe","in","his",4
"believe","in","it",9
"believe","in","magic",5
"believe","in","me",5
"believe","in","my",4
"believe","in","that",7
"believe","in","the",52
"believe","in","what",7
"believe","in","you",19
"believe","in","your",15
"believe","in","yourself",20
"believe","is","right",3
"believe","is","the",8
"believe","it","and",5
"believe","it","either",3
"believe","it","has",6
"believe","it","i",16
"believe","it","is",121
"believe","it","or",39
"believe","it","was",17
"believe","it","we",4
"believe","it","when",8
"believe","it","will",10
"believe","me","and",3
"believe","me","i",33
"believe","me","or",3
"believe","me","when",7
"believe","my","eyes",5
"believe","she","is",6
"believe","that","a",12
"believe","that","anyone",5
"believe","that","for",5
"believe","that","god",3
"believe","that","he",7
"believe","that","i",41
"believe","that","if",9
"believe","that","in",5
"believe","that","is",20
"believe","that","it",29
"believe","that","just",4
"believe","that","most",4
"believe","that","my",5
"believe","that","no",5
"believe","that","our",3
"believe","that","people",7
"believe","that","the",64
"believe","that","there",9
"believe","that","these",5
"believe","that","they",11
"believe","that","this",17
"believe","that","we",19
"believe","the","best",4
"believe","there","are",8
"believe","there","is",32
"believe","they","are",15
"believe","they","can",5
"believe","they","have",12
"believe","they","will",6
"believe","this","but",3
"believe","this","is",19
"believe","we","are",19
"believe","we","can",8
"believe","we","have",14
"believe","we","should",6
"believe","we","will",5
"believe","what","they",3
"believe","you","are",22
"believe","you","can",15
"believe","you","have",8
"believed","in","me",6
"believed","it","was",12
"believed","that","the",12
"believed","to","be",62
"believes","he","can",5
"believes","he","has",5
"believes","he","is",7
"believes","in","the",6
"believes","that","the",17
"believing","in","the",3
"belong","in","a",3
"belong","in","the",13
"belong","to","a",8
"belong","to","the",26
"belong","to","us",9
"belong","to","you",3
"belonged","to","a",6
"belongs","to","the",25
"belongs","to","you",4
"below","and","then",3
"below","for","the",4
"below","the","knee",5
"below","the","poverty",3
"below","you","can",7
"bench","in","the",6
"beneath","the","surface",8
"benefit","from","a",12
"benefit","from","it",4
"benefit","from","some",4
"benefit","from","the",26
"benefit","from","this",7
"benefit","is","that",3
"benefit","of","the",33
"benefited","from","a",4
"benefits","of","a",5
"besides","it","is",10
"besides","that","i",3
"besides","the","fact",8
"besides","the","obvious",3
"best","and","i",12
"best","and","most",15
"best","and","the",6
"best","and","worst",11
"best","because","i",3
"best","bet","is",7
"best","but","i",6
"best","buy","and",6
"best","case","scenario",5
"best","choice","for",7
"best","day","of",32
"best","decision","i",6
"best","described","as",5
"best","exotic","marigold",7
"best","films","of",3
"best","for","his",3
"best","for","me",10
"best","for","our",4
"best","for","that",3
"best","for","the",26
"best","for","them",6
"best","for","us",4
"best","for","you",16
"best","for","your",4
"best","friend","and",31
"best","friend","was",8
"best","friend","who",9
"best","friend","you",7
"best","friends","and",5
"best","friends","it",3
"best","friends","on",3
"best","game","of",9
"best","he","is",8
"best","i","am",8
"best","i","can",25
"best","i","could",7
"best","i","ever",6
"best","i","have",31
"best","ice","cream",3
"best","if","i",4
"best","if","you",7
"best","in","class",3
"best","in","the",60
"best","interest","of",22
"best","is","the",4
"best","it","can",5
"best","it","was",5
"best","job","in",7
"best","kind","of",10
"best","meal","of",3
"best","news","for",3
"best","not","to",13
"best","of","all",44
"best","of","friends",6
"best","of","it",13
"best","of","luck",119
"best","of","me",18
"best","of","my",9
"best","of","show",8
"best","of","the",56
"best","of","them",8
"best","of","times",10
"best","of","us",10
"best","on","the",6
"best","option","for",6
"best","out","of",12
"best","part","about",21
"best","part","is",23
"best","part","of",88
"best","part","the",4
"best","part","was",11
"best","people","to",4
"best","person","to",8
"best","place","for",8
"best","place","to",41
"best","places","to",15
"best","players","i",3
"best","practices","and",4
"best","seat","in",6
"best","solution","to",3
"best","supporting","actress",7
"best","teams","in",8
"best","they","can",7
"best","thing","about",30
"best","thing","ever",22
"best","thing","for",11
"best","thing","i",26
"best","thing","that",28
"best","thing","to",26
"best","thing","you",7
"best","things","about",9
"best","things","in",12
"best","time","for",4
"best","time","of",13
"best","time","to",29
"best","to","answer",4
"best","to","do",4
"best","to","get",12
"best","to","help",3
"best","to","keep",6
"best","to","leave",5
"best","to","make",11
"best","to","use",7
"best","to","wait",3
"best","use","of",17
"best","way","for",7
"best","way","i",6
"best","way","possible",4
"best","way","to",191
"best","ways","to",9
"best","we","can",20
"best","when","he",4
"best","when","it",4
"best","when","the",4
"best","wishes","to",18
"best","years","of",5
"best","you","can",16
"bet","is","that",3
"bet","is","to",6
"bet","it","is",21
"bet","it","would",6
"bet","they","will",9
"bet","you","are",17
"bet","you","cant",4
"bet","you","did",7
"bet","you","thought",3
"bets","are","off",5
"better","able","to",9
"better","about","it",6
"better","and","better",28
"better","and","hopefully",3
"better","and","i",20
"better","and","more",12
"better","and","my",3
"better","and","worse",4
"better","and","you",4
"better","as","a",12
"better","at","being",3
"better","at","it",9
"better","at","the",9
"better","at","what",4
"better","believe","we",3
"better","but","it",7
"better","but","not",3
"better","but","still",4
"better","but","the",7
"better","care","of",7
"better","chance","of",12
"better","choice","for",4
"better","each","day",5
"better","for","a",3
"better","for","it",6
"better","for","me",13
"better","for","my",3
"better","for","the",17
"better","for","them",4
"better","i","am",22
"better","i","do",6
"better","idea","than",3
"better","if","it",6
"better","if","you",16
"better","in","a",11
"better","in","the",20
"better","in","this",4
"better","it","is",20
"better","job","of",21
"better","job","than",8
"better","known","as",13
"better","late","than",29
"better","life","and",4
"better","look","at",6
"better","make","sure",7
"better","next","year",3
"better","not","be",16
"better","now","i",5
"better","now","than",4
"better","off","in",3
"better","off","with",11
"better","off","without",4
"better","on","the",9
"better","or","worse",20
"better","part","of",24
"better","place","than",4
"better","place","to",13
"better","prepared","for",7
"better","quality","of",5
"better","results","than",3
"better","sense","of",13
"better","shape","than",5
"better","suited","for",6
"better","suited","to",5
"better","than","a",50
"better","than","any",17
"better","than","anyone",15
"better","than","being",13
"better","than","ever",13
"better","than","expected",7
"better","than","good",7
"better","than","he",9
"better","than","i",50
"better","than","it",18
"better","than","just",5
"better","than","last",13
"better","than","my",9
"better","than","no",8
"better","than","none",7
"better","than","nothing",16
"better","than","other",4
"better","than","others",7
"better","than","our",5
"better","than","that",42
"better","than","the",140
"better","than","their",6
"better","than","they",9
"better","than","this",30
"better","than","those",6
"better","than","to",20
"better","than","we",9
"better","than","what",18
"better","than","you",26
"better","that","is",4
"better","that","way",8
"better","things","to",14
"better","time","to",6
"better","to","be",34
"better","to","do",34
"better","to","drink",3
"better","to","have",13
"better","to","me",6
"better","to","say",5
"better","to","take",3
"better","to","use",5
"better","today","i",3
"better","view","of",9
"better","way","to",68
"better","ways","to",12
"better","when","it",6
"better","when","the",3
"better","when","you",9
"better","with","a",10
"better","with","the",10
"better","yet","a",3
"better","you","are",6
"better","you","can",4
"betting","it","is",3
"between","a","man",19
"between","all","of",3
"between","all","the",4
"between","am","and",31
"between","and","am",8
"between","and","and",9
"between","and","people",3
"between","and","per",4
"between","and","this",3
"between","and","years",7
"between","being","a",4
"between","god","and",3
"between","her","and",6
"between","him","and",16
"between","it","is",4
"between","legal","and",3
"between","london","and",3
"between","me","and",23
"between","now","and",42
"between","th","and",15
"between","that","and",5
"between","the","and",4
"between","the","eyes",5
"between","the","hours",5
"between","the","lines",13
"between","the","parties",3
"between","the","th",3
"between","the","top",4
"between","the","two",122
"between","the","us",10
"between","them","is",4
"between","then","and",7
"between","to","years",3
"between","us","and",13
"between","what","we",3
"between","you","and",36
"between","your","legs",3
"beverly","hills","and",4
"beverly","hills","cop",4
"beware","if","you",3
"beyond","what","the",4
"bid","for","a",8
"big","and","little",3
"big","and","too",3
"big","as","a",6
"big","bang","theory",25
"big","bowl","of",9
"big","brother","was",5
"big","but","i",3
"big","chunk","of",11
"big","day","for",19
"big","deal","for",12
"big","deal","out",4
"big","deal","to",10
"big","enough","for",17
"big","enough","to",27
"big","fan","of",102
"big","fans","of",11
"big","for","me",4
"big","game","we",3
"big","happy","family",4
"big","hit","and",3
"big","in","the",5
"big","is","your",5
"big","man","in",5
"big","of","a",33
"big","on","the",5
"big","one","and",3
"big","or","small",6
"big","part","of",56
"big","pile","of",4
"big","push","for",4
"big","question","is",6
"big","role","in",10
"big","screen","tvs",4
"big","she","is",3
"big","smile","on",8
"big","thumbs","up",4
"big","to","fail",16
"big","waste","of",6
"big","when","you",3
"bigger","and","better",14
"bigger","than","a",8
"bigger","than","i",4
"bigger","than","that",9
"bigger","than","the",21
"bigger","things","to",3
"biggest","challenges","in",3
"biggest","problem","is",5
"biggest","reason","for",3
"bike","in","the",5
"bike","rides","and",5
"bill","for","the",5
"bill","of","rights",17
"bill","thank","you",3
"bill","that","is",7
"bill","that","would",49
"bill","to","allow",3
"bill","to","the",6
"billion","dollars","in",5
"billion","for","the",14
"billion","in","aid",4
"billion","in","federal",8
"billion","in","the",23
"billion","per","year",11
"billion","to","billion",19
"billion","worth","of",13
"billions","of","dollars",48
"bills","to","pay",5
"bin","laden","had",3
"bin","laden","is",9
"bin","laden","the",6
"bin","laden","was",17
"birth","control","pills",6
"birth","of","her",4
"birth","of","his",7
"birth","of","my",6
"birth","of","their",7
"birth","to","a",16
"birth","to","the",8
"birthday","and","the",6
"birthday","is","in",13
"birthday","is","on",12
"birthday","it","is",10
"birthday","it","was",4
"birthday","next","week",3
"birthday","of","the",3
"birthday","party","for",9
"birthday","party","she",3
"birthday","that","is",4
"birthday","this","year",8
"biscuits","and","gravy",8
"bit","about","the",12
"bit","and","he",5
"bit","better","than",6
"bit","but","i",8
"bit","but","not",4
"bit","but","the",4
"bit","by","bit",6
"bit","by","the",3
"bit","closer","to",3
"bit","easier","to",5
"bit","in","the",9
"bit","it","is",7
"bit","like","the",6
"bit","longer","to",4
"bit","more","like",3
"bit","more","than",14
"bit","more","to",4
"bit","of","a",209
"bit","of","advice",3
"bit","of","an",26
"bit","of","attention",7
"bit","of","both",5
"bit","of","everything",7
"bit","of","good",4
"bit","of","heaven",7
"bit","of","help",5
"bit","of","humor",4
"bit","of","it",10
"bit","of","money",5
"bit","of","pain",3
"bit","of","practice",4
"bit","of","that",6
"bit","of","the",34
"bit","of","this",4
"bit","of","time",26
"bit","of","water",6
"bit","on","the",22
"bit","out","of",6
"bit","over","the",7
"bit","the","bullet",3
"bit","too","far",6
"bit","too","much",13
"bit","with","my",3
"bit","with","the",6
"bite","out","of",10
"bite","to","eat",13
"bites","the","dust",6
"bits","and","pieces",33
"bits","of","the",12
"bitten","by","a",6
"bitten","by","the",8
"black","and","brown",5
"black","and","gold",12
"black","and","the",4
"black","and","white",118
"black","dress","and",5
"black","eyed","peas",22
"black","friday","deals",6
"black","history","month",11
"black","in","the",6
"black","is","the",4
"black","man","and",3
"black","or","white",6
"black","panther","party",4
"black","people","are",5
"blackhawks","in","the",3
"blah","blah","blah",44
"blame","for","this",5
"blame","it","all",5
"blame","it","on",35
"blame","me","for",8
"blame","them","for",5
"blamed","it","on",3
"blast","doing","it",4
"blast","from","the",10
"blast","in","the",4
"blaze","of","glory",6
"blend","in","with",4
"bless","you","and",16
"blessed","in","the",5
"blessed","to","be",19
"blessed","to","have",43
"blessed","with","a",6
"blessed","with","the",5
"blessing","in","disguise",5
"blessing","of","the",13
"blessings","of","liberty",3
"blew","a","kiss",4
"blew","me","away",15
"blew","my","mind",18
"blew","out","the",4
"blind","eye","and",3
"blink","of","an",12
"blip","on","the",3
"block","access","to",4
"block","away","from",8
"block","from","the",8
"block","of","university",4
"block","south","of",4
"block","to","the",5
"blocks","away","from",8
"blocks","from","the",14
"blog","about","how",4
"blog","and","in",3
"blog","and","the",9
"blog","but","the",3
"blog","has","been",10
"blog","on","the",8
"blog","post","about",21
"blog","post","on",11
"blog","you","are",6
"blogging","about","the",3
"blogs","of","the",4
"blood","all","over",4
"blood","and","guts",3
"blood","and","the",4
"blood","at","the",3
"blood","cell","count",4
"blood","for","the",4
"blood","in","the",6
"blood","it","is",5
"blood","of","a",4
"blood","of","the",7
"blood","on","a",3
"blood","on","the",14
"blood","sweat","and",6
"blow","out","the",3
"blow","things","up",3
"blow","up","in",5
"blowing","in","my",3
"blowing","in","the",3
"blowing","up","the",7
"blown","away","by",18
"blue","and","red",4
"blue","and","white",20
"blue","and","yellow",7
"blue","eyes","and",7
"blue","in","the",10
"blue","it","is",4
"blue","or","green",3
"blue","skies","and",5
"blue","sky","and",5
"blues","by","the",3
"blues","in","the",6
"board","i","do",3
"board","members","and",8
"board","of","directors",71
"board","of","education",57
"board","of","governors",10
"board","with","the",7
"board","with","this",3
"boat","and","it",4
"boat","in","the",6
"bode","well","for",10
"bodes","well","for",14
"bodies","of","water",3
"body","and","mind",13
"body","and","soul",12
"body","and","the",8
"body","and","there",3
"body","in","a",6
